"DisplayName","DisplayVersion","InstallLocation"
"Python 3.10.7 Executables (64-bit)","3.10.7150.0",""
"Python 3.10.7 pip Bootstrap (64-bit)","3.10.7150.0",""
"Python 3.10.7 Standard Library (64-bit debug)","3.10.7150.0",""
"Python 3.10.7 Standard Library (64-bit symbols)","3.10.7150.0",""
"Python 3.10.7 Standard Library (64-bit)","3.10.7150.0",""
"Python 3.10.7 Tcl/Tk Support (64-bit debug)","3.10.7150.0",""
"Python 3.10.7 Tcl/Tk Support (64-bit symbols)","3.10.7150.0",""
"Python 3.10.7 Tcl/Tk Support (64-bit)","3.10.7150.0",""
"Python 3.10.7 Test Suite (64-bit debug)","3.10.7150.0",""
"Python 3.10.7 Test Suite (64-bit symbols)","3.10.7150.0",""
"Python 3.10.7 Test Suite (64-bit)","3.10.7150.0",""
"Python 3.10.7 Utility Scripts (64-bit)","3.10.7150.0",""
"Railway Empire",,"F:\SteamLibrary\steamapps\common\Railway Empire"
"REAPER (x64)","6.68","C:\Program Files\REAPER (x64)"
"Rocket League",,"C:\Program Files (x86)\Steam\steamapps\common\rocketleague"
"RUMBLE",,"F:\SteamLibrary\steamapps\common\RUMBLE"
"Samsung NVM Express Driver 3.3.0.2003","3.3.0.2003",""
"SAPIEN ScriptMerge 2022","1.4.89.0","C:\Program Files\SAPIEN Technologies, Inc\ScriptMerge 2022\"
"SAPIEN Updates","1.1.43.0","C:\Program Files\SAPIEN Technologies, Inc\SAPIEN Updates\"
"ScriptMerge 2022","1.4.89.0","C:\Program Files\SAPIEN Technologies, Inc\ScriptMerge 2022\"
"Session: Skate Sim",,"C:\Program Files (x86)\Steam\steamapps\common\Session"
"Squad",,"G:\SteamLibrary\steamapps\common\Squad"
"SteamVR",,"C:\Program Files (x86)\Steam\steamapps\common\SteamVR"
"Sublime Text",,"C:\Program Files\Sublime Text\"
"Teardown",,"G:\SteamLibrary\steamapps\common\Teardown"
"Tom Clancy's Ghost Recon Wildlands","1.0","F:\games\Tom Clancy's Ghost Recon Wildlands\"
"Tom Clancy's Rainbow Six Siege",,"G:\SteamLibrary\steamapps\common\Tom Clancy's Rainbow Six Siege"
"Topaz Video Enhance AI","2.6.4",
"Topaz Video Enhance AI 2.6.0","2.6.0","C:\Program Files\Topaz Labs LLC\Topaz Video Enhance AI\"
"Totally Accurate Battlegrounds",,"F:\SteamLibrary\steamapps\common\TotallyAccurateBattlegrounds"
"Transport Fever 2",,"G:\SteamLibrary\steamapps\common\Transport Fever 2"
"UE4 Prerequisites (x64)","1.0.11.0",""
"Ultimechs",,"F:\SteamLibrary\steamapps\common\Ultimechs"
"Unity Hub 3.3.0","3.3.0",
"Universal CRT Tools x64","10.1.22621.1",""
"Valheim Dedicated Server",,"F:\SteamLibrary\steamapps\common\Valheim dedicated server"
"VBCABLE-A, The Virtual Audio Cable",,
"Virtual Desktop Service","1.18.26","C:\Program Files\Virtual Desktop\"
"Visual C++ 10.0 CRT (x64)","10.0",""
"VLC media player","3.0.17.4","C:\Program Files\VideoLAN\VLC"
"VMware Workstation","15.0.0",""
"VS JIT Debugger","17.0.118.0",""
"VS Script Debugging Common","17.0.118.0",""
"vs_communityx64msi","17.3.32708",""
"vs_devenx64vmsi","17.3.32708",""
